2021/4/12//22:20:30  rsi__BTC/USDT__1m ==> 60.34454409769657
2021/4/12//22:21:5  rsi__BTC/USDT__1m ==> 61.56731561822573
2021/4/12//22:24:19  rsi__BTC/USDT__1m ==> 63.26289976221422
2021/4/13//0:1:38  rsi__BTC/USDT__1m ==> 45.96698094396871
2021/4/13//0:2:18  rsi__BTC/USDT__1m ==> 41.74525383082539
2021/4/13//0:6:26  rsi__BTC/USDT__1m ==> 38.447335600585006
2021/4/13//0:7:55  rsi__BTC/USDT__1m ==> 35.98052426283338
2021/4/13//0:26:42  rsi__BTC/USDT__1m ==> 45.1281043731623
2021/4/13//0:27:33  rsi__BTC/USDT__1m ==> 51.37899865891957
2021/4/13//0:28:32  rsi__BTC/USDT__1m ==> 48.92557990994594
2021/4/13//0:30:8  rsi__BTC/USDT__1m ==> 43.79955842677702
2021/4/13//0:30:36  rsi__BTC/USDT__1m ==> 42.23631701282551
2021/4/13//0:32:46  rsi__BTC/USDT__1m ==> 50.28843912497347
2021/4/13//0:33:8  rsi__BTC/USDT__1m ==> 50.44344769604685
2021/4/13//0:34:6  rsi__BTC/USDT__1m ==> 54.955440994394124
2021/4/13//0:36:1  rsi__BTC/USDT__1m ==> 57.85146867938003
2021/4/13//0:41:24  rsi__BTC/USDT__1m ==> 58.41593096183657
2021/4/13//0:41:28  rsi__BTC/USDT__1m ==> 59.22960353561597
2021/4/13//0:44:44  rsi__BTC/USDT__1m ==> 48.17670242259843
2021/4/13//0:49:36  rsi__BTC/USDT__1m ==> 61.182457400171295
2021/4/13//9:51:24  rsi__BTC/USDT__1m ==> 55.36089303726573
2021/4/13//9:51:43  rsi__BTC/USDT__1m ==> 55.454166197569066
2021/4/13//9:55:12  rsi__BTC/USDT__1m ==> 68.60664443277761
2021/4/13//9:57:2  rsi__BTC/USDT__1m ==> 58.4690883497421
2021/4/13//9:59:47  rsi__BTC/USDT__1m ==> 54.82246281551847
2021/4/13//10:1:4  rsi__BTC/USDT__1m ==> 65.33527955866188
2021/4/13//10:5:18  rsi__BTC/USDT__1m ==> 56.491991067669254
2021/4/13//10:5:40  rsi__BTC/USDT__1m ==> 53.35363173977401
2021/4/13//10:8:0  rsi__BTC/USDT__1m ==> 57.79308378602689
2021/4/13//10:15:32  rsi__BTC/USDT__1m ==> 80.63522183485895
2021/4/13//10:17:55  rsi__BTC/USDT__1m ==> 84.52181142295217
2021/4/13//10:50:21  rsi__BTC/USDT__1m ==> 52.22637338572652
2021/4/13//10:54:53  rsi__BTC/USDT__1m ==> 57.46840608063864
